leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,3,1,0,0,3,1,2
2,SMC,6,2,0,0,3,1,2
3,ASSE,7,2,1,0,3,1,2
4,PSG,7,2,1,1,6,4,2
5,LOSC,10,3,1,1,9,6,3
6,TFC,13,4,1,1,10,6,4
7,OL,14,4,2,1,11,6,5
8,TFC,17,5,2,1,12,7,5
9,OL,17,5,2,2,14,9,5
10,OL,20,6,2,2,17,10,7
11,LOSC,22,6,4,1,21,12,9
12,LOSC,23,6,5,1,21,12,9
13,LOSC,24,6,6,1,22,13,9
14,LOSC,25,6,7,1,22,13,9
15,LOSC,28,7,7,1,24,13,11
16,LOSC,31,8,7,1,27,15,12
17,LOSC,34,9,7,1,29,15,14
18,LOSC,35,9,8,1,29,15,14
19,LOSC,36,9,9,1,33,19,14
20,LOSC,36,9,9,2,33,21,12
21,LOSC,39,10,9,2,36,21,15
22,LOSC,42,11,9,2,37,21,16
23,LOSC,42,11,9,3,41,26,15
24,LOSC,45,12,9,3,42,26,16
25,LOSC,46,12,10,3,43,27,16
26,LOSC,47,12,11,3,45,29,16
27,LOSC,47,12,11,4,46,31,15
28,LOSC,50,13,11,4,50,31,19
29,LOSC,53,14,11,4,53,31,22
30,LOSC,56,15,11,4,55,32,23
31,LOSC,56,15,11,5,56,35,21
32,LOSC,59,16,11,5,60,36,24
33,LOSC,62,17,11,5,62,36,26
34,LOSC,65,18,11,5,64,37,27
35,LOSC,68,19,11,5,65,37,28
36,LOSC,71,20,11,5,68,37,31
37,LOSC,71,20,11,6,68,38,30
38,LOSC,74,21,11,6,72,39,33
