leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,MONTPELLIER,3,1,0,0,3,1,2
2,MONTPELLIER,6,2,0,0,4,1,3
3,TOULOUSE FC,7,2,1,0,5,1,4
4,OL,8,2,2,0,7,4,3
5,OL,11,3,2,0,9,5,4
6,MONTPELLIER,13,4,1,1,12,5,7
7,RENNES,14,4,2,1,17,11,6
8,OL,17,5,2,1,14,7,7
9,MONTPELLIER,17,5,2,2,17,11,6
10,MONTPELLIER,20,6,2,2,22,14,8
11,MONTPELLIER,23,7,2,2,25,15,10
12,MONTPELLIER,26,8,2,2,27,15,12
13,MONTPELLIER,27,8,3,2,28,16,12
14,MONTPELLIER,30,9,3,2,29,16,13
15,PARIS SG,30,9,3,3,26,15,11
16,PARIS SG,33,10,3,3,29,17,12
17,PARIS SG,36,11,3,3,30,17,13
18,PARIS SG,37,11,4,3,30,17,13
19,MONTPELLIER,37,11,4,4,39,23,16
20,MONTPELLIER,40,12,4,4,40,23,17
21,MONTPELLIER,43,13,4,4,41,23,18
22,MONTPELLIER,46,14,4,4,42,23,19
23,MONTPELLIER,49,15,4,4,45,23,22
24,MONTPELLIER,50,15,5,4,47,25,22
25,PARIS SG,52,15,7,3,44,25,19
26,MONTPELLIER,54,16,6,4,49,26,23
27,MONTPELLIER,57,17,6,4,52,26,26
28,MONTPELLIER,57,17,6,5,52,27,25
29,PARIS SG,60,17,9,3,53,30,23
30,PARIS SG,60,17,9,4,54,32,22
31,PARIS SG,63,18,9,4,56,33,23
32,PARIS SG,64,18,10,4,57,34,23
33,PARIS SG,67,19,10,4,63,35,28
34,PARIS SG,67,19,10,5,64,37,27
35,PARIS SG,70,20,10,5,66,37,29
36,PARIS SG,73,21,10,5,70,40,30
37,PARIS SG,76,22,10,5,73,40,33
38,PARIS SG,79,23,10,5,75,41,34
