leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,SRFC,MHSC,OL,TFC,ASSE,SMC,FCL,OM,TEGG,SB29,FCSM,LOSC,ASNL,FCGB,PSG,VAFC,AJA,OGCN,ACA,DFCO
2,TFC,MHSC,SMC,ASSE,SRFC,OL,TEGG,FCL,OM,SB29,FCSM,FCGB,PSG,LOSC,ASNL,VAFC,AJA,ACA,OGCN,DFCO
3,MHSC,TFC,ASSE,SMC,OL,TEGG,SRFC,FCSM,PSG,LOSC,FCL,OM,SB29,DFCO,FCGB,AJA,ACA,ASNL,VAFC,OGCN
4,MHSC,OL,PSG,TFC,SRFC,FCSM,LOSC,ASSE,FCL,SMC,DFCO,AJA,FCGB,TEGG,SB29,OM,OGCN,ACA,ASNL,VAFC
5,MHSC,OL,LOSC,PSG,TFC,SRFC,FCSM,FCL,ASSE,AJA,FCGB,TEGG,SMC,DFCO,ACA,SB29,OM,ASNL,OGCN,VAFC
6,OL,MHSC,TFC,LOSC,PSG,FCL,SRFC,FCSM,AJA,TEGG,SMC,ASSE,FCGB,DFCO,OGCN,SB29,ACA,VAFC,ASNL,OM
7,MHSC,SRFC,OL,PSG,TFC,LOSC,FCL,SMC,FCSM,DFCO,AJA,ASSE,FCGB,TEGG,OM,VAFC,OGCN,SB29,ACA,ASNL
8,PSG,OL,TFC,MHSC,SRFC,LOSC,FCL,SMC,AJA,DFCO,ASSE,FCSM,OM,FCGB,TEGG,VAFC,OGCN,SB29,ACA,ASNL
9,PSG,MHSC,OL,TFC,LOSC,FCL,SRFC,SMC,AJA,FCSM,DFCO,ASSE,OM,FCGB,TEGG,OGCN,SB29,ACA,VAFC,ASNL
10,PSG,MHSC,OL,LOSC,SRFC,TFC,FCL,SMC,ASSE,AJA,FCSM,DFCO,OGCN,VAFC,OM,SB29,TEGG,FCGB,ACA,ASNL
11,PSG,MHSC,LOSC,SRFC,OL,TFC,FCL,ASSE,SMC,FCSM,AJA,OM,DFCO,OGCN,VAFC,SB29,TEGG,FCGB,ASNL,ACA
12,PSG,MHSC,LOSC,OL,TFC,SRFC,FCL,ASSE,OM,SMC,FCSM,SB29,AJA,TEGG,FCGB,OGCN,DFCO,VAFC,ASNL,ACA
13,PSG,MHSC,LOSC,OL,SRFC,TFC,FCL,OM,SMC,ASSE,FCSM,AJA,TEGG,FCGB,SB29,VAFC,OGCN,ASNL,DFCO,ACA
