leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,NANCY,1,0,1,0,1,1,0
2,PARIS SG,1,0,1,1,1,2,-1
3,BREST,3,0,3,0,3,3,0
4,BORDEAUX,5,1,2,1,5,5,0
5,SM CAEN,6,2,0,3,6,7,-1
6,BORDEAUX,6,1,3,2,7,8,-1
7,BORDEAUX,7,1,4,2,8,9,-1
8,OM,7,1,4,3,9,11,-2
9,OM,8,1,5,3,10,12,-2
10,OGC NICE,10,2,4,4,11,10,1
11,DIJON FCO,11,3,2,6,11,22,-11
12,AJ AUXERRE,12,2,6,4,17,18,-1
13,Evian TG,13,2,7,4,15,18,-3
14,BREST,15,2,9,3,15,14,1
15,Evian TG,16,3,7,5,19,22,-3
16,FCSM,18,4,6,6,21,30,-9
17,AJ AUXERRE,18,4,6,7,24,27,-3
18,SM CAEN,19,5,4,9,24,29,-5
19,VAFC,20,5,5,9,18,21,-3
20,DIJON FCO,22,6,4,10,23,36,-13
21,NANCY,22,5,7,9,22,29,-7
22,Evian TG,23,5,8,9,29,35,-6
23,SM CAEN,26,7,5,11,28,34,-6
24,FC LORIENT,27,6,9,9,24,30,-6
25,SM CAEN,27,7,6,12,30,37,-7
26,SM CAEN,28,7,7,12,30,37,-7
27,AC AJACCIO,29,7,8,12,29,47,-18
28,BREST,30,5,15,8,23,26,-3
29,DIJON FCO,33,9,6,14,36,48,-12
30,DIJON FCO,34,9,7,14,37,49,-12
31,OGC NICE,34,8,10,13,32,36,-4
32,FC LORIENT,35,8,11,13,30,41,-11
33,VAFC,37,10,7,16,31,40,-9
34,FC LORIENT,38,9,11,14,34,45,-11
35,FC LORIENT,38,9,11,15,34,46,-12
36,FC LORIENT,39,9,12,15,34,46,-12
37,OGC NICE,39,9,12,16,35,43,-8
38,OGC NICE,42,10,12,16,39,46,-7
