leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SRFC,3,1,0,0,5,1,4
2,TFC,6,2,0,0,4,0,4
3,MHSC,9,3,0,0,8,1,7
4,MHSC,9,3,0,1,9,3,6
5,MHSC,12,4,0,1,10,3,7
6,OL,14,4,2,0,11,5,6
7,MHSC,16,5,1,1,15,6,9
8,PSG,17,5,2,1,14,7,7
9,PSG,20,6,2,1,16,7,9
10,PSG,23,7,2,1,19,8,11
11,PSG,26,8,2,1,21,8,13
12,PSG,29,9,2,1,25,10,15
13,PSG,30,9,3,1,26,11,15
14,PSG,30,9,3,2,26,12,14
15,MHSC,33,10,3,2,32,17,15
16,MHSC,36,11,3,2,36,17,19
17,MHSC,36,11,3,3,36,18,18
18,MHSC,37,11,4,3,37,19,18
19,PSG,40,12,4,3,31,17,14
20,PSG,43,13,4,3,34,18,16
21,PSG,46,14,4,3,35,18,17
22,PSG,49,15,4,3,38,19,19
23,PSG,50,15,5,3,38,19,19
24,PSG,51,15,6,3,40,21,19
25,MHSC,53,16,5,4,48,25,23
26,PSG,55,16,7,3,48,26,22
27,PSG,58,17,7,3,50,27,23
28,PSG,59,17,8,3,52,29,23
29,MHSC,60,18,6,5,53,27,26
30,MHSC,63,19,6,5,56,28,28
31,MHSC,66,20,6,5,58,29,29
32,MHSC,66,20,6,6,59,31,28
33,MHSC,69,21,6,6,60,31,29
34,MHSC,72,22,6,6,61,31,30
35,MHSC,73,22,7,6,63,33,30
36,MHSC,76,23,7,6,65,33,32
37,MHSC,79,24,7,6,66,33,33
38,MHSC,82,25,7,6,68,34,34
