leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,TFC,3,1,0,0,2,0,2
2,ASSE,6,2,0,0,3,1,2
3,SMC,6,2,0,1,4,3,1
4,TFC,7,2,1,1,6,4,2
5,PSG,10,3,1,1,7,4,3
6,LOSC,11,3,2,1,11,8,3
7,PSG,14,4,2,1,11,7,4
8,MHSC,16,5,1,2,15,9,6
9,TFC,17,5,2,2,12,10,2
10,LOSC,19,5,4,1,18,11,7
11,SRFC,21,6,3,2,21,14,7
12,OL,23,7,2,3,20,13,7
13,OL,23,7,2,4,21,15,6
14,SRFC,25,7,4,3,24,17,7
15,SRFC,28,8,4,3,27,19,8
16,OL,29,9,2,5,28,19,9
17,OL,32,10,2,5,29,19,10
18,OL,35,11,2,5,31,20,11
19,OL,35,11,2,6,31,21,10
20,OL,35,11,2,7,31,22,9
21,OL,38,12,2,7,34,23,11
22,OL,39,12,3,7,36,25,11
23,OL,39,12,3,8,37,27,10
24,ASSE,42,12,6,6,33,26,7
25,ASSE,43,12,7,6,33,26,7
26,SRFC,43,12,7,7,36,30,6
27,ASSE,46,13,7,7,35,29,6
28,TFC,47,13,8,7,30,24,6
29,TFC,50,14,8,7,31,24,7
30,OL,50,15,5,10,47,37,10
31,OL,53,16,5,10,49,38,11
32,OL,53,16,5,11,49,41,8
33,OL,56,17,5,11,52,43,9
34,OL,59,18,5,11,55,44,11
35,OL,62,19,5,11,59,45,14
36,OL,63,19,6,11,60,46,14
37,OL,64,19,7,11,61,47,14
38,OL,64,19,7,12,64,51,13
