leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,RENNES,MONTPELLIER,OL,TOULOUSE FC,ASSE,SM CAEN,FC LORIENT,OM,Evian TG,BREST,FCSM,LOSC,NANCY,BORDEAUX,PARIS SG,VAFC,AJ AUXERRE,OGC NICE,AC AJACCIO,DIJON FCO
2,TOULOUSE FC,MONTPELLIER,SM CAEN,ASSE,RENNES,OL,Evian TG,FC LORIENT,OM,BREST,FCSM,BORDEAUX,PARIS SG,LOSC,NANCY,VAFC,AJ AUXERRE,AC AJACCIO,OGC NICE,DIJON FCO
3,MONTPELLIER,TOULOUSE FC,ASSE,SM CAEN,OL,Evian TG,RENNES,FCSM,PARIS SG,LOSC,FC LORIENT,OM,BREST,DIJON FCO,BORDEAUX,AJ AUXERRE,AC AJACCIO,NANCY,VAFC,OGC NICE
4,MONTPELLIER,OL,PARIS SG,TOULOUSE FC,RENNES,FCSM,LOSC,ASSE,FC LORIENT,SM CAEN,DIJON FCO,AJ AUXERRE,BORDEAUX,Evian TG,BREST,OM,OGC NICE,AC AJACCIO,NANCY,VAFC
5,MONTPELLIER,OL,LOSC,PARIS SG,TOULOUSE FC,RENNES,FCSM,FC LORIENT,ASSE,AJ AUXERRE,BORDEAUX,Evian TG,SM CAEN,DIJON FCO,AC AJACCIO,BREST,OM,NANCY,OGC NICE,VAFC
6,OL,MONTPELLIER,TOULOUSE FC,LOSC,PARIS SG,FC LORIENT,RENNES,FCSM,AJ AUXERRE,Evian TG,SM CAEN,ASSE,BORDEAUX,DIJON FCO,OGC NICE,BREST,AC AJACCIO,VAFC,NANCY,OM
7,MONTPELLIER,RENNES,OL,PARIS SG,TOULOUSE FC,LOSC,FC LORIENT,SM CAEN,FCSM,DIJON FCO,AJ AUXERRE,ASSE,BORDEAUX,Evian TG,OM,VAFC,OGC NICE,BREST,AC AJACCIO,NANCY
8,PARIS SG,OL,TOULOUSE FC,MONTPELLIER,RENNES,LOSC,FC LORIENT,SM CAEN,AJ AUXERRE,DIJON FCO,ASSE,FCSM,OM,BORDEAUX,Evian TG,VAFC,OGC NICE,BREST,AC AJACCIO,NANCY
9,PARIS SG,MONTPELLIER,OL,TOULOUSE FC,LOSC,FC LORIENT,RENNES,SM CAEN,AJ AUXERRE,FCSM,DIJON FCO,ASSE,OM,BORDEAUX,Evian TG,OGC NICE,BREST,AC AJACCIO,VAFC,NANCY
10,PARIS SG,MONTPELLIER,OL,LOSC,RENNES,TOULOUSE FC,FC LORIENT,SM CAEN,ASSE,AJ AUXERRE,FCSM,DIJON FCO,OGC NICE,VAFC,OM,BREST,Evian TG,BORDEAUX,AC AJACCIO,NANCY
11,PARIS SG,MONTPELLIER,LOSC,RENNES,OL,TOULOUSE FC,FC LORIENT,ASSE,SM CAEN,FCSM,AJ AUXERRE,OM,DIJON FCO,OGC NICE,VAFC,BREST,Evian TG,BORDEAUX,NANCY,AC AJACCIO
12,PARIS SG,MONTPELLIER,LOSC,OL,TOULOUSE FC,RENNES,FC LORIENT,ASSE,OM,SM CAEN,FCSM,BREST,AJ AUXERRE,Evian TG,BORDEAUX,OGC NICE,DIJON FCO,VAFC,NANCY,AC AJACCIO
13,PARIS SG,MONTPELLIER,LOSC,OL,RENNES,TOULOUSE FC,FC LORIENT,OM,SM CAEN,ASSE,FCSM,AJ AUXERRE,Evian TG,BORDEAUX,BREST,VAFC,OGC NICE,NANCY,DIJON FCO,AC AJACCIO
14,PARIS SG,MONTPELLIER,LOSC,RENNES,OL,TOULOUSE FC,FC LORIENT,ASSE,SM CAEN,OM,FCSM,Evian TG,BREST,AJ AUXERRE,VAFC,NANCY,DIJON FCO,BORDEAUX,OGC NICE,AC AJACCIO
15,MONTPELLIER,PARIS SG,LOSC,RENNES,OL,TOULOUSE FC,FC LORIENT,ASSE,OM,SM CAEN,FCSM,DIJON FCO,Evian TG,BORDEAUX,BREST,AJ AUXERRE,VAFC,NANCY,OGC NICE,AC AJACCIO
16,MONTPELLIER,PARIS SG,LOSC,OL,RENNES,TOULOUSE FC,OM,ASSE,FC LORIENT,SM CAEN,Evian TG,BORDEAUX,FCSM,DIJON FCO,BREST,AJ AUXERRE,VAFC,OGC NICE,NANCY,AC AJACCIO
17,MONTPELLIER,PARIS SG,LOSC,OL,RENNES,TOULOUSE FC,ASSE,OM,FC LORIENT,BORDEAUX,Evian TG,SM CAEN,AJ AUXERRE,FCSM,DIJON FCO,BREST,VAFC,NANCY,OGC NICE,AC AJACCIO
18,MONTPELLIER,PARIS SG,LOSC,OL,ASSE,TOULOUSE FC,RENNES,OM,BORDEAUX,FC LORIENT,BREST,Evian TG,SM CAEN,AJ AUXERRE,NANCY,FCSM,DIJON FCO,OGC NICE,VAFC,AC AJACCIO
19,PARIS SG,MONTPELLIER,LOSC,OL,RENNES,OM,TOULOUSE FC,ASSE,FC LORIENT,BORDEAUX,Evian TG,BREST,VAFC,SM CAEN,AJ AUXERRE,DIJON FCO,OGC NICE,NANCY,FCSM,AC AJACCIO
20,PARIS SG,MONTPELLIER,LOSC,OL,RENNES,OM,ASSE,TOULOUSE FC,BORDEAUX,FC LORIENT,BREST,Evian TG,DIJON FCO,VAFC,SM CAEN,AJ AUXERRE,NANCY,OGC NICE,FCSM,AC AJACCIO
21,PARIS SG,MONTPELLIER,LOSC,OL,OM,RENNES,TOULOUSE FC,ASSE,BORDEAUX,FC LORIENT,BREST,Evian TG,NANCY,DIJON FCO,AC AJACCIO,VAFC,SM CAEN,AJ AUXERRE,FCSM,OGC NICE
22,PARIS SG,MONTPELLIER,LOSC,OL,OM,RENNES,ASSE,TOULOUSE FC,BORDEAUX,FC LORIENT,BREST,VAFC,Evian TG,SM CAEN,NANCY,AC AJACCIO,DIJON FCO,OGC NICE,AJ AUXERRE,FCSM
23,PARIS SG,MONTPELLIER,LOSC,OL,RENNES,ASSE,OM,TOULOUSE FC,BORDEAUX,FC LORIENT,VAFC,Evian TG,SM CAEN,BREST,NANCY,DIJON FCO,AC AJACCIO,OGC NICE,AJ AUXERRE,FCSM
24,PARIS SG,MONTPELLIER,LOSC,ASSE,OM,OL,RENNES,TOULOUSE FC,BORDEAUX,VAFC,Evian TG,SM CAEN,FC LORIENT,BREST,DIJON FCO,NANCY,AC AJACCIO,AJ AUXERRE,OGC NICE,FCSM
25,MONTPELLIER,PARIS SG,LOSC,ASSE,OL,RENNES,TOULOUSE FC,OM,BORDEAUX,VAFC,Evian TG,BREST,SM CAEN,FC LORIENT,DIJON FCO,AC AJACCIO,OGC NICE,NANCY,AJ AUXERRE,FCSM
